| cordova         | AK | disk     | UFO ALIEN ABDUCTION AND SPACE CRAFT INCOUNTER A DEMENSHONAL SPEED TRAIL WAS LEFT                                                                               |  1974 |
| crestwood       | KY | circle   | i was only 3. the craft was round.a green glowing light on the side. it was close to the ground so i could see the abduction portal on                         | 1,997 |
| hawesville      | KY | cigar    | Sightings of multiple craft disappearing and reappearing in sky&#44 possible abduction.                                                                        | 1,995 |
| hazard          | KY | light    | Probable abduction                                                                                                                                             | 1,977 |
| weston          | MA | disk     | daughter&#39s abduction                                                                                                                                        | 1,978 |
| easton          | MD | unknown  | Caught a possible Alien Abduction and/or Cattle Mutiliation in progress&#44                                                                                    | 2,003 |
| elkton          | MD | diamond  | ((HOAX??))  Abduction.                                                                                                                                         | 2,012 |
| lusby           | MD | other    | Possible alien encounter and or abduction in 1993.                                                                                                             | 1,993 |
| ocean city      | MD | flash    | flash of light&#33 possibly abduction&#33                                                                                                                      | 2,001 |
| rockville       | MD | disk     | Floating abduction out of bed into a silver saucer; US military human beings on board&#44 some kind of head surgery performed.                                 | 1,975 |
| rockville       | MD | disk     | Abduction middle of night encounter human atired in US Military Uniforms (Airforce) experience some type of Brain Surgery&#33                                  | 1,975 |
| butler          | MO | cylinder | sightind and abduction on country road.                                                                                                                        | 2,009 |
| carrollton      | MO | sphere   | UFO Abduction ofr Four People Near Missouri River in 1979                                                                                                      | 1,979 |
| charlotte       | NC | other    | Alien Abduction with provable markings left on the body.                                                                                                       | 2,014 |
| marshville      | NC | other    | UFO in clear sight of entire town&#44 egg shape(on its side)many colored lights&#44memory tampering&#44nose bleed&#44abduction.                                | 1,987 |
| columbus        | NE | circle   | Circular craft&#44 nighttime sighting&#44 close range&#44 red&#44 green&#44 yellow lights&#44 probable abduction&#44 missing time                              | 1,966 |
| duncan          | OK | unknown  | This is what I can remember about my abduction.                                                                                                                | 1,997 |
| portland        | OR | triangle | Triangle shaped object drops from sky during meteor shower...possible abduction.                                                                               | 2,001 |
| sharon          | PA | changing | Two Hour Abduction in Sharon&#44 PA                                                                                                                            | 2,002 |
| tamaqua         | PA | light    | A light was seen up in the sky with small lights shining down from it it dissapeared and a possible abduction took place the following                         | 1,997 |
| wilkes-barre    | PA | triangle | The truth behind the Grays  ((NUFORC Note:  Report of abductions is unconfirmed.  PD))                                                                         | 2,001 |
| cypress         | TX | unknown  | Possible Abduction Attempt in Cypress&#44 Texas                                                                                                                | 2,010 |
| echo            | TX | chevron  | Man Escapes Alien Abduction With Photo&#44s to Prove It.                                                                                                       | 2,011 |
| san antonio     | TX | unknown  | 3 TIMES FROM 7/18 TO NOW AN ABDUCTION EVENT&#44 BUT NOT A SUCCESS FOR THEM.I AM A RESEARCHER AND HAD TAKEN A ABDUCTEE TO SAN ANTONIO FOR H                     | 1,999 |
| san antonio     | TX | unknown  | ((HOAX??))  abduction&#44 but no success                                                                                                                       | 2,007 |
| stephenville    | TX | flash    | ((HOAX??))  Injections put into us during an abduction. 500 Lights On Object0: Yes                                                                             | 2,007 |
| murray          | UT | unknown  | True account of abduction.                                                                                                                                     | 1,981 |
| salt lake city  | UT | disk     | ((HOAX??))  Abduction and Oval Ufo sighting a few weeks before.  The aliens were red headed Lyrans.                                                            | 2,014 |
| culpeper        | VA | unknown  | alien abduction                                                                                                                                                | 1,995 |
| chehalis        | WA | oval     | Hovering light moving in the distance randomly at high speeds&#44 no abduction this time.                                                                      | 2,005 |
| fall city       | WA | unknown  | Possible abduction experience.  2 witnesses remember glimpses of inside of craft.This was reported to Peter Davenport late afternoo                            | 1,975 |
| lakewood        | WA | changing | craft hovers silently changing shape. possible abduction.                                                                                                      | 2,010 |
| olympia         | WA | disk     | young children experience a near abduction by a UFO in their own back yard in Olympia&#44 Washington&#44 May 2001.                                             | 2,001 |
| seattle         | WA | unknown  | Abduction                                                                                                                                                      | 2,008 |
| snoqualmie      | WA | other    | Possible abduction.                                                                                                                                            | 2,011 |
